"pair_id","Description","Direction","Origin","Destination","Distance"
9647,"I-93 SB after Granite Ave. in Milton (u491) <0E> to I-93 & Hwy 3 (u568) ","SB","I-93 SB after Granite Ave. in Milton (u491) <0E>","I-93 & Hwy 3 (u568)",3.1
9648,"I-93 & Hwy 3 (u568) TO I-93 NB before Granite St. in Braintree (u501) <2C>","SB","I-93 & Hwy 3 (u568)","I-93 NB before Granite St. in Braintree (u501) <2C>",1.7
9649,"I-93 NB before Granite St. in Braintree (u501) <2C> TO I-93 & Hwy 3 (u568)","NB","I-93 NB before Granite St. in Braintree (u501) <2C>","I-93 & Hwy 3 (u568)",1.9
9650,"Rt. 3 NB before I-93 in Braintree (u499) <2A> TO I-93 & Hwy 3 (u568)","NB","Rt. 3 NB before I-93 in Braintree (u499) <2A>","I-93 & Hwy 3 (u568)",0.8
10081,"I-84 NB before Rte. 20 (u1775) TO I-90 EB before on-ramps (I-84) (u1764)","NB","I-84 NB before Rte. 20 (u1775)","I-90 EB before on-ramps (I-84) (u1764)",2.4
10082,"I-90 EB before on-ramps (I-84) (u1764) TO I-90 EB before on-ramps (I-395/I-290) (u1773)","EB","I-90 EB before on-ramps (I-84) (u1764)","I-90 EB before on-ramps (I-395/I-290) (u1773)",10.6
10083,"I-90 EB before on-ramps (I-395/I-290) (u1773) TO I-90 EB after on-ramps (Rte. 122) (u1770)","EB","I-90 EB before on-ramps (I-395/I-290) (u1773)","I-90 EB after on-ramps (Rte. 122) (u1770)",7.9
10084,"495SB-MM059.9 TO 90WB-MM105.3 ","SB","I-495 SB before Rte. 9 (u1781)","I-90 WB before on-ramps (I-495) (u1766)",3.6
10085,"I-90 WB before on-ramps (I-495) (u1766) TO I-90 WB after on-ramps (Rte. 122) (u1772)","WB","I-90 WB before on-ramps (I-495) (u1766)","I-90 WB after on-ramps (Rte. 122) (u1772)",9.5
10086,"I-90 WB after on-ramps (Rte. 122) (u1772) TO I-90 WB after on-ramps (I-395/I-290) (u1761)","WB","I-90 WB after on-ramps (Rte. 122) (u1772)","I-90 WB after on-ramps (I-395/I-290) (u1761)",6
10087,"I-395 NB before I-90 (u1774) TO I-90 EB after on-ramps (Rte. 122) (u1770)","NB","I-395 NB before I-90 (u1774)","I-90 EB after on-ramps (Rte. 122) (u1770)",9.9
10088,"90WB-MM089.7 TO 90EB-MM078.8","WB","I-90 WB after on-ramps (I-395/I-290) (u1761)","I-90 EB before on-ramps (I-84) (u1764)",10.7
10089,"90EB-MM078.8 TO 84NB-MM006.2","SB","I-90 EB before on-ramps (I-84) (u1764)","I-84 NB before Rte. 20 (u1775)",2.4
10090,"I-290 SB before I-90 (u1765) TO I-90 WB after on-ramps (I-395/I-290) (u1761)","SB","I-290 SB before I-90 (u1765)","I-90 WB after on-ramps (I-395/I-290) (u1761)",2.2
10091,"90WB-MM095.8 TO 290SB-MM000.8","WB","I-90 WB after on-ramps (Rte. 122) (u1772)","I-290 SB before I-90 (u1765)",7.3
10092,"90EB-MM089.7 TO 395NB-MM011.0","SB","I-90 EB before on-ramps (I-395/I-290) (u1773)","I-395 NB before I-90 (u1774)",1.6
10105,"I-495 NB before I-90 (u1763) to I-90 WB before on-ramps (I-495) (u1766) ","NB","I-495 NB before I-90 (u1763)","I-90 WB before on-ramps (I-495) (u1766)",2.3
10108,"I-495 SB before Rte. 9 (u1781) to I-90 WB before on-ramps (I-495) (u1766) ","SB","I-495 SB before Rte. 9 (u1781)","I-90 WB before on-ramps (I-495) (u1766)",3.6
10109,"I-495 NB before I-90 (u1763) to I-495 SB before Rte. 9 (u1781) ","NB","I-495 NB before I-90 (u1763)","I-495 SB before Rte. 9 (u1781)",2.7
10110,"I-495 SB before Rte. 9 (u1781) to I-495 NB before I-90 (u1763)","SB","I-495 SB before Rte. 9 (u1781)","I-495 NB before I-90 (u1763)",2.7
10178,"I-93 SB ramps to Rte. 3 TO Rte. 3 SB after Rte. 18 SB Ramps","SB","I-93 SB ramps to Rte. 3","Rte. 3 SB after Rte. 18 SB Ramps",4.4
10179,"Rte. 3 SB after Rte. 18 SB Ramps TO Rte. 3 SB before emergency area (Rte. 53)","SB","Rte. 3 SB after Rte. 18 SB Ramps","Rte. 3 SB before emergency area (Rte. 53)",5.8
10180,"Rte. 3 SB before emergency area (Rte. 53) TO Rte 3 SB before Rte. 139 ramps","SB","Rte. 3 SB before emergency area (Rte. 53)","Rte 3 SB before Rte. 139 ramps",5.9
10181,"Rte 3 SB before Rte. 139 ramps TO Rte 3 SB before Rte. 3A ramps","SB","Rte 3 SB before Rte. 139 ramps","Rte 3 SB before Rte. 3A ramps",7.1
10182,"Rte 3 SB before Rte. 3A ramps TO Rte 3 SB before Rte. 44 ramps","SB","Rte 3 SB before Rte. 3A ramps","Rte 3 SB before Rte. 44 ramps",3.1
10183,"Rte 3 SB before Rte. 44 ramps TO Rte 3 SB inside Clark Rd. infield","SB","Rte 3 SB before Rte. 44 ramps","Rte 3 SB inside Clark Rd. infield",9.2
10184,"Rte 3 SB inside Clark Rd. infield TO Rte 3 SB after exit to Scenic Hwy","SB","Rte 3 SB inside Clark Rd. infield","Rte 3 SB after exit to Scenic Hwy",6.6
10185,"Rte 3 NB north of Depot TO Rte 3 NB inside Clark Rd. infield","NB","Rte 3 NB north of Depot","Rte 3 NB inside Clark Rd. infield",7
10186,"Rte 3 NB inside Clark Rd. infield TO Rte 3 NB before Rte. 44 ramps","NB","Rte 3 NB inside Clark Rd. infield","Rte 3 NB before Rte. 44 ramps",7.7
10187,"Rte 3 NB before Rte. 44 ramps TO Rte 3 NB before Rte. 3A ramps","NB","Rte 3 NB before Rte. 44 ramps","Rte 3 NB before Rte. 3A ramps",5.2
10188,"Rte 3 NB before Rte. 3A ramps TO Rte 3 NB after Rte. 139 ramps","NB","Rte 3 NB before Rte. 3A ramps","Rte 3 NB after Rte. 139 ramps",7.4
10189,"Rte 3 NB after Rte. 139 ramps TO Rte 3 NB before Rte. 53 ramps","NB","Rte 3 NB after Rte. 139 ramps","Rte 3 NB before Rte. 53 ramps",3.7
10190,"Rte 3 NB before Rte. 53 ramps TO Rte 3 NB south Rte. 18 of ramps","NB","Rte 3 NB before Rte. 53 ramps","Rte 3 NB south Rte. 18 of ramps",6.5
10192,"I-93 NB before Granite St. in Braintree (u501) <2C> TO I-93 SB ramps to Rte. 3","SB","I-93 NB before Granite St. in Braintree (u501) <2C>","I-93 SB ramps to Rte. 3",1.6
10193,"I-93 & Hwy 3 (u568) TO I-93 SB ramps to Rte. 3","SB","I-93 & Hwy 3 (u568)","I-93 SB ramps to Rte. 3",1
